Question_ID,Questions,Answers,topic,urgent
6120253,When should I get help for goal setting?,"Seek help if symptoms persist, worsen, or disrupt daily life.",other,False
6159230,What are common signs of financial stress?,"Restlessness, racing thoughts, tension, avoidance.",other,False
6167248,When is substance use a problem? Where can I go for help?,"Each person has a different relationship with substances like alcohol and other drugs, and people use substances for different reasons.",substance_use,False
6171716,Can disability benefits improve with treatment?,Yes. With proper care many people improve.,other,False
6188935,How is climate anxiety treated?,"Therapy, skills practice, sometimes medication.",anxiety,False
6229731,Can nicotine and mood improve with treatment?,Yes. With proper care many people improve.,other,False
6261415,What is postpartum depression?,"Persistent low mood, loss of interest; help is available.",depression,False
6262632,How is nootropic supplements treated?,Consult a professional; treatments exist.,other,False
6266630,When should I get help for rural mental health access?,"Seek help if symptoms persist, worsen, or disrupt daily life.",other,False
6271130,Can hiv and mental health improve with treatment?,Yes. With proper care many people improve.,other,False
6279418,Can mental health apps improve with treatment?,Yes. With proper care many people improve.,other,False
6292423,Can exercise and mood improve with treatment?,Yes. With proper care many people improve.,other,False
6304573,What are common signs of student mental health?,"Watch for changes in mood, behavior, or function.",other,False
6307805,What are common signs of intellectual disability?,"Watch for changes in mood, behavior, or function.",other,False
6438436,What are common signs of self-compassion?,"Watch for changes in mood, behavior, or function.",other,False
6440561,What is medication side effects?,Mental health topic; support and care can help.,other,False
6507321,Can natural disaster trauma improve with treatment?,Yes. With proper care many people improve.,ptsd,False
6521784,What is the legal status (and evidence) of CBD oil?,Cannabidiol or CBD is a naturally occurring component of cannabis. It is extracted from the cannabis plant and often made into an oil for use.,other,False
6539837,How is intersectionality mental health treated?,Consult a professional; treatments exist.,other,False
6543670,Can urban stress improve with treatment?,Yes. With proper care many people improve.,other,False
6555772,How is lab tests for psych meds treated?,Consult a professional; treatments exist.,other,False
6573147,What is data privacy in mental health apps?,Mental health topic; support and care can help.,other,False
6596150,When should I get help for bullying and mental health?,"Seek help if symptoms persist, worsen, or disrupt daily life.",other,False
6623577,What is a referral?,"A referral means someone recommends you to another service. In health care, it usually means a request from your doctor to see a specialist like a psychiatrist.",other,False
6647119,When should I get help for internet addiction?,"Seek help if symptoms persist, worsen, or disrupt daily life.",other,False
6672134,Can immigrant mental health improve with treatment?,Yes. With proper care many people improve.,other,False
6692553,When should I get help for music therapy?,"Seek help if symptoms persist, worsen, or disrupt daily life.",therapy,False
6707197,What are common signs of supporting an employee?,N/A.,other,False
6708456,Can dementia improve with treatment?,Yes. With proper care many people improve.,other,False
6752576,What are common signs of diet and mental health?,"Watch for changes in mood, behavior, or function.",other,False
6770619,Can oppositional defiant disorder improve with treatment?,Yes. With proper care many people improve.,other,False
6779222,Where can I find free or low-cost counselling?,Mental health services like counselling or therapy may be covered by your BC Medical Services Plan (MSP) when you access the service through a hospital or.,therapy,False
6799667,What are common signs of psychedelics risks?,"Watch for changes in mood, behavior, or function.",other,False
6851366,What's the difference between a psychiatrist and a registered psychologist?,A psychiatrist is a medical doctor with extra training in mental health who can choose to prescribe medications.,other,False
6855396,What are common signs of medication management?,"Watch for changes in mood, behavior, or function.",other,False
6866294,How is values work treated?,Consult a professional; treatments exist.,other,False
6869967,I’m an adult and I think I might have ADHD. What can I do next?,"While we think of attention-deficit/hyperactivity disorder as an illness that affects children, it can last into adulthood—and some people aren’t diagnosed.",adhd,False
6891254,When should I get help for retirement adjustment?,"Seek help if symptoms persist, worsen, or disrupt daily life.",other,False
6933742,What are common signs of supporting an employee?,N/A.,other,False
6944126,What is gaming and mental health?,Mental health topic; support and care can help.,other,False
6960453,When should I get help for therapy vs counseling?,"Seek help if symptoms persist, worsen, or disrupt daily life.",therapy,False
6981545,Where can I find self-help materials for depression?,Self-help resources are not a substitute for diagnosis or treatment.,depression,False
7003042,How is talking to kids about mental health treated?,Ask how to help; connect to services.,other,False
7009409,How can I see a counsellor?,You can find directories of counsellors through their professional organizations.,therapy,False
7022674,When should I get help for conduct disorder?,"Seek help if symptoms persist, worsen, or disrupt daily life.",other,False
7067228,When should I get help for men's mental health?,"Seek help if symptoms persist, worsen, or disrupt daily life.",other,False
7069853,Why do I need to keep informed?,"It may be tempting to try to block out the world altogether to avoid bad news, but it's important to keep yourself informed.",other,False
7073292,What are common signs of self-esteem?,"Watch for changes in mood, behavior, or function.",other,False
7089806,What is time management stress?,Excessive worry or fear that disrupts life.,other,False
7110622,Can human trafficking trauma improve with treatment?,Yes. With proper care many people improve.,ptsd,False
7117837,What is return to work after illness?,Mental health topic; support and care can help.,other,False
7120868,What is acceptance and commitment therapy?,Structured talk-based help for mental health concerns.,therapy,False
7194416,Can peer support improve with treatment?,Yes. With proper care many people improve.,other,False
7199635,Can teletherapy improve with treatment?,Yes. With proper care many people improve.,therapy,False
7210606,How is psychiatrist vs psychologist treated?,Consult a professional; treatments exist.,other,False
7264956,What are common signs of psychedelics risks?,"Watch for changes in mood, behavior, or function.",other,False
7273233,How is light therapy treated?,Find a trained provider; many effective styles.,therapy,False
7350753,What is diabetes and mental health?,Mental health topic; support and care can help.,other,False
7358113,What are common signs of anxiety?,"Restlessness, racing thoughts, tension, avoidance.",anxiety,False
7366205,How is first therapy session treated?,Find a trained provider; many effective styles.,therapy,False
7374122,What are common signs of tic disorders?,"Watch for changes in mood, behavior, or function.",other,False
7377459,How is meditation treated?,Practice brief daily sessions; apps help.,mindfulness,False
7402509,Can disability benefits improve with treatment?,Yes. With proper care many people improve.,other,False
7417985,What are common signs of ect?,"Watch for changes in mood, behavior, or function.",other,False
7455324,When should I get help for workplace accommodations?,"Seek help if symptoms persist, worsen, or disrupt daily life.",other,False
7462506,What are common signs of cultural stigma?,"Watch for changes in mood, behavior, or function.",other,False
7535002,How can I challenge thinking traps?,What you tell yourself about a situation affects how you feel and what you do.,other,False
7550190,When should I get help for schizophrenia?,"Seek help if symptoms persist, worsen, or disrupt daily life.",schizophrenia,False
7637601,How is grounding techniques treated?,Consult a professional; treatments exist.,other,False
7640184,How is cancer and mental health treated?,Consult a professional; treatments exist.,other,False
7657263,Can people with mental illness recover?,"When healing from mental illness, early identification and treatment are of vital importance.",other,False
7685149,When should I get help for trauma after violence?,"Seek help if symptoms persist, worsen, or disrupt daily life.",ptsd,False
7693979,What is cannabis and mental health?,Mental health topic; support and care can help.,other,False
7700828,What is body image?,Mental health topic; support and care can help.,other,False
7705490,What is after hospitalization follow-up?,Mental health topic; support and care can help.,substance_use,False
7728339,When should I get help for toddler parenting stress?,"Seek help if symptoms persist, worsen, or disrupt daily life.",other,False
7728364,What is mental health?,"We all have mental health which is made up of our beliefs, thoughts, feelings and behaviours.",other,False
7730428,What is sleep and mental health?,Trouble falling or staying asleep that impairs functioning.,sleep,False
7754864,How is art therapy treated?,Find a trained provider; many effective styles.,therapy,False
7760466,What is the difference between mental health professionals?,There are many types of mental health professionals. The variety of providers and their services may be confusing.,other,False
7774229,Can body dysmorphic disorder improve with treatment?,Yes. With proper care many people improve.,other,False
7807643,"If cannabis is dangerous, why are we legalizing it?","Cannabis smoke, for example, contains cancer-causing toxins.",other,False
7817881,How is supporting a student treated?,Ask how to help; connect to services.,other,False
7818496,Can fertility stress improve with treatment?,Yes. With proper care many people improve.,other,False
7829332,What is exam anxiety?,Excessive worry or fear that disrupts life.,anxiety,False
7897151,How is creator burnout treated?,Consult a professional; treatments exist.,other,False
7907400,What are common signs of wearables and mood tracking?,"Watch for changes in mood, behavior, or function.",other,False
7917152,How is when to call emergency services treated?,Consult a professional; treatments exist.,other,False
7984793,What’s the difference between dissociative identity disorder (multiple personality disorder) and schizophrenia?,"Sometimes, people confuse dissociative identity disorder, formerly known as multiple personality disorder, and schizophrenia.",schizophrenia,False
7995219,What's the difference between mental health and mental illness?,"‘Mental health’ and ‘mental illness’ are increasingly being used as if they mean the same thing, but they do not.",other,False
8022026,What treatment options are available?,Different treatment options are available for individuals with mental illness.,other,False
8033426,Can oppositional defiant disorder improve with treatment?,Yes. With proper care many people improve.,other,False
8038374,How is grief treated?,Consult a professional; treatments exist.,other,False
8077999,What are common signs of jet lag and mood?,"Watch for changes in mood, behavior, or function.",other,False
8078673,When should I get help for borderline personality disorder?,"Seek help if symptoms persist, worsen, or disrupt daily life.",other,False
8082668,What are common signs of community mental health centers?,"Watch for changes in mood, behavior, or function.",other,False
8090293,When should I get help for psychosis?,"Seek help if symptoms persist, worsen, or disrupt daily life.",schizophrenia,False
8096887,How is autism treated?,Supportive therapies; strength-based approach.,autism,False
8099076,What are common signs of omega-3 and depression?,"Low mood ≥2 weeks, sleep/appetite changes, low energy.",depression,False
8106422,Can emdr improve with treatment?,Yes. With proper care many people improve.,other,False
8106470,What are common signs of streaming stress?,"Restlessness, racing thoughts, tension, avoidance.",other,False
8175395,When should I get help for coping skills?,"Seek help if symptoms persist, worsen, or disrupt daily life.",other,False
8187926,Can cyberbullying improve with treatment?,Yes. With proper care many people improve.,other,False
8210624,What are common signs of community mental health centers?,"Watch for changes in mood, behavior, or function.",other,False
8231838,Can study breaks and focus improve with treatment?,Yes. With proper care many people improve.,other,False
8235969,What is lgbtq+ youth suicide risk?,Thoughts of ending life or hurting yourself need urgent help.,suicide_selfharm,True
8290770,What is cannabis and mental health?,Mental health topic; support and care can help.,other,False
8294150,Can warning signs of crisis improve with treatment?,Yes. With proper care many people improve.,other,False
8315831,What is refugee trauma?,Ongoing distress after trauma.,ptsd,False
8321474,When should I get help for herbal remedies mood?,"Seek help if symptoms persist, worsen, or disrupt daily life.",other,False
8350099,How is nootropic supplements treated?,Consult a professional; treatments exist.,other,False
8351517,How is crisis line treated?,Consult a professional; treatments exist.,other,False
8412769,How is resilience treated?,Consult a professional; treatments exist.,other,False
8434500,How is gut-brain connection treated?,Consult a professional; treatments exist.,other,False
8471978,I was prescribed an antidepressant or other psychiatric medication but I don’t think it’s working. What can I do?,"If you’re concerned about your medications, it’s important to talk with the doctor or psychiatrist who prescribed your medications.",depression,False
8526486,Can blue spaces and mood improve with treatment?,Yes. With proper care many people improve.,other,False
8536477,Can burnout improve with treatment?,Yes. With proper care many people improve.,other,False
8574680,Can traditional healing and mental health improve with treatment?,Yes. With proper care many people improve.,other,False
8606962,Can dialectical behavior therapy improve with treatment?,Yes. With proper care many people improve.,therapy,False
8612220,What are common signs of de-escalation skills?,"Watch for changes in mood, behavior, or function.",other,False
8612349,What's the difference between anxiety and stress?,"Stress and anxiety are often used interchangeably, and there is overlap between stress and anxiety.",anxiety,False
8633773,What is ocd?,Obsessions and compulsions that feel hard to control.,ocd,False
8670955,What is lgbtq+ mental health?,Mental health topic; support and care can help.,other,False
8688755,Can relationship counseling improve with treatment?,Yes. With proper care many people improve.,therapy,False
8690253,What do I do if I’m worried about my mental health?,"The most important thing is to talk to someone you trust. This might be a friend, colleague, family member, or GP.",other,False
8698256,When should I get help for exposure therapy?,"Seek help if symptoms persist, worsen, or disrupt daily life.",therapy,False
8707870,How is traumatic brain injury treated?,Trauma-focused therapy; meds if needed.,ptsd,False
8722606,What are common signs of self-compassion?,"Watch for changes in mood, behavior, or function.",other,False
8755439,What are common signs of finding a therapist?,"Watch for changes in mood, behavior, or function.",therapy,False
8761611,Can meal planning and mood improve with treatment?,Yes. With proper care many people improve.,other,False
8835373,When should I get help for online harassment?,"Seek help if symptoms persist, worsen, or disrupt daily life.",other,False
8852574,What is return to work after illness?,Mental health topic; support and care can help.,other,False
8896868,When should I get help for sleep hygiene?,"Seek help if symptoms persist, worsen, or disrupt daily life.",sleep,False
8904276,Are there cures for mental health problems?,It is often more realistic and helpful to find out what helps with the issues you face.,other,False
8927672,Where can I learn more information about creating a Psychiatric Advance Directive?,"Similar to a medical advance directive or a health care power of attorney, a psychiatric advance directive is a legal document completed in a time of wellness.",eating_disorder,False
8930103,How is productivity guilt treated?,Consult a professional; treatments exist.,other,False
8935169,Can imposter syndrome improve with treatment?,Yes. With proper care many people improve.,other,False
8973915,How is lab tests for psych meds treated?,Consult a professional; treatments exist.,other,False
8999183,When should I get help for stress?,"Seek help if symptoms persist, worsen, or disrupt daily life.",other,False
9020440,What is cyclothymic disorder?,Cyclothymic disorder is a subtype of bipolar disorder.,other,False
9045344,What is dysthymia or persistent depressive disorder?,"Dysthymia, now called persistent depressive disorder or PDD, is a mood disorder. It is related depression (major depressive disorder).",depression,False
9049618,What is binge-eating disorder?,Binge-eating disorder or BED is a type of eating disorder.,eating_disorder,False
9075854,What are common signs of pregnancy mental health?,"Watch for changes in mood, behavior, or function.",other,False
9100298,How can I maintain social connections? What if I feel lonely?,"A lot of people are alone right now, but we don't have to be lonely. We're all in this together.",other,False
9143903,Can digital detox improve with treatment?,Yes. With proper care many people improve.,other,False
9147706,What is infertility grief?,Mental health topic; support and care can help.,other,False
9153566,How is aging and mental health treated?,Consult a professional; treatments exist.,other,False
9164991,When should I get help for borderline personality disorder?,"Seek help if symptoms persist, worsen, or disrupt daily life.",other,False
9167296,What is obsessive-compulsive personality disorder?,"A personality disorder is a pattern of thoughts, feelings, and behaviours that last for a long time and causes some sort of problem or distress.",ocd,False
9178453,What is schizoid personality disorder?,"A personality disorder is a pattern of thoughts, feelings, and behaviours that last for a long time and causes some sort of problem or distress.",schizophrenia,False
9196204,What is journaling?,Mental health topic; support and care can help.,other,False
9197443,How is values work treated?,Consult a professional; treatments exist.,other,False
9250044,How can I use distraction to manage difficult thoughts or feelings?,Distraction is a very valid tool to help you cope when everything feels overwhelming or when you feel lonely or isolated.,other,False
9279821,What is recovery planning?,Mental health topic; support and care can help.,other,False
9375710,What are common signs of breathing exercises?,"Watch for changes in mood, behavior, or function.",other,False
9398441,Can ai chatbots and mental health improve with treatment?,Yes. With proper care many people improve.,other,False
9434130,What are some of the warning signs of mental illness?,Symptoms of mental health disorders vary depending on the type and severity of the condition.,other,False
9436429,Can burnout improve with treatment?,Yes. With proper care many people improve.,other,False
9478454,Can social anxiety improve with treatment?,Yes. With proper care many people improve.,anxiety,False
9479356,Can mental health apps improve with treatment?,Yes. With proper care many people improve.,other,False
9487336,When should I get help for cognitive behavioral therapy?,"Seek help if symptoms persist, worsen, or disrupt daily life.",therapy,False
9508103,What are common signs of pollution and brain health?,"Watch for changes in mood, behavior, or function.",other,False
9517169,Can ketamine treatment improve with treatment?,Yes. With proper care many people improve.,other,False
9517485,What are common signs of wearables and mood tracking?,"Watch for changes in mood, behavior, or function.",other,False
9519948,When should I get help for psychosis?,"Seek help if symptoms persist, worsen, or disrupt daily life.",schizophrenia,False
9539480,Where can I go to find a support group?,Many people find peer support a helpful tool that can aid in their recovery.,other,False
9541219,Where can I go to find therapy?,Several different types of treatment and therapy that can help.,therapy,False
9546409,Can chronic illness coping improve with treatment?,Yes. With proper care many people improve.,other,False
9548432,Can relapse prevention improve with treatment?,Yes. With proper care many people improve.,other,False
9580255,Can traditional healing and mental health improve with treatment?,Yes. With proper care many people improve.,other,False
9626108,What are common signs of pollution and brain health?,"Watch for changes in mood, behavior, or function.",other,False
9630578,How can I find a support group?,Support groups are a way for people with a common experience to help each other and learn from each other.,other,False
9676742,"How can I find a doctor, psychiatrist, psychologist, or counsellor?","To find a family doctor (general physician), visit the College of Physicians and Surgeons of BC to use their Find a Physician tool.",therapy,False
9679704,What is antisocial personality disorder?,"A personality disorder is a pattern of thoughts, feelings, and behaviours that last for a long time and causes some sort of problem or distress.",other,False
9683481,When should I get help for herbal remedies mood?,"Seek help if symptoms persist, worsen, or disrupt daily life.",other,False
9722815,How is domestic violence effects treated?,Consult a professional; treatments exist.,other,False
9770838,What is learning disabilities?,Mental health topic; support and care can help.,other,False
9852897,What is vitamin d and mood?,Mental health topic; support and care can help.,other,False
9874152,Can insurance coverage improve with treatment?,Yes. With proper care many people improve.,other,False
9877065,What are common signs of reducing stigma?,"Watch for changes in mood, behavior, or function.",other,False
9897858,Can gratitude practice improve with treatment?,Yes. With proper care many people improve.,other,False
9910817,What is insomnia?,Trouble falling or staying asleep that impairs functioning.,sleep,False
9937326,Can chronic illness coping improve with treatment?,Yes. With proper care many people improve.,other,False
9961380,When should I get help for confidentiality?,"Seek help if symptoms persist, worsen, or disrupt daily life.",other,False
9996207,What are common signs of medication refill planning?,"Watch for changes in mood, behavior, or function.",other,False
9996414,When should I get help for chronic pain and mental health?,"Seek help if symptoms persist, worsen, or disrupt daily life.",other,False
9997381,When should I get help for forest bathing?,"Seek help if symptoms persist, worsen, or disrupt daily life.",other,False
